user_id,user_community,user_active_status,q_anon_tweet_ids,q_anon_retweeted_ids,q_anon_terms_in_description
1905072276,2,suspended,[],"['1326851533368156171', '1329919280855408641']",[]
28674575,2,active,[],['1329919280855408641'],[]
1304391136132374535,,active,[],[],"['wga', 'wwg1wga', 'wwg']"
1283073348784861192,2,suspended,[],['1326851533368156171'],[]
121819857,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1320477357648478208,2,suspended,[],"['1333892457688395776', '1334271889963970563']",[]
1063452319,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
438179033,3,active,[],['1328514619510378496'],[]
861296303124426754,2,active,[],['1323966453683552257'],[]
250477025,2,active,[],[],"['wga', 'wwg1wga', 'wwg']"
1126971301283926016,1,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1159808163820003328,2,suspended,[],[],"['wga', 'wwg1wga', 'awake', 'wwg']"
3421330769,2,active,[],['1329919280855408641'],"['wga', 'wwg1wga', 'wwg']"
2564306750,2,active,[],[],"['wga', 'wwg1wga', 'wwg']"
1330622686771306497,2,active,"['1331053490127323139', '1330624594915442689']",[],"['wga', 'wwg1wga', 'wwg']"
1303105851746639872,2,active,[],['1330587798890557441'],[]
1271274910854381568,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
83248059,2,active,[],['1326851533368156171'],[]
934644187,2,deleted,[],[],['savethechildren']
66571866,2,active,[],['1336420395117850625'],[]
577520893,2,suspended,[],['1328220895370993664'],[]
138815516,1,active,['1330721976244178949'],[],[]
283180210,2,active,[],['1334338448044355595'],[]
728289073,2,active,[],['1331787439094996992'],[]
811053633622065156,3,suspended,[],"['1320244010108153856', '1320244013161574401', '1320244015401295878', '1321760380729712640', '1325600350817038336', '1325613050200666112', '1326470706318565381', '1326853544016670720', '1327319803472723968', '1328514619510378496', '1328514691782512640', '1329275935648935936', '1331898635521380357', '1333257476729290755', '1334271889963970563', '1334499198914347008', '1336693025649565696', '1336698410729009155', '1337800014555275264']","['wga', 'wwg1wga', 'wwg']"
1189375394006339584,2,suspended,[],['1327475939601649664'],[]
1225729130,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1192458289336004610,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1253501614440226817,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1271884684293738499,1,deleted,[],[],"['awake', 'thegreatawakening', 'greatawakening']"
1281256481187418113,2,deleted,['1334654325289676801'],[],[]
44120034,2,deleted,[],['1324294661515587584'],[]
2734574376,2,active,[],['1330894931922214915'],[]
734193621247922176,2,active,[],"['1333289036857925632', '1333741481438437376']",[]
